
"estate_ad", "Annunci"
"estate_title", "Titolo"
"estate_ad_code", "Codice Annucio"
"estate_date", "Data"
"estate_pub", "Pubblica"
"estate_evidence", "In Evidenza"
"estate_text", "Testo"
"estate_ad-save", "Salva l'annnuncio"
"estate_ad-delete", "cancella l'annuncio"
"estate_primary_image", "Immagine Principale"
"estate_province", "Provincia"
"estate_district", "Località"
"estate_address", "Indirizzo"
"estate_metrics", "Superficie"
"estate_type", "Contratto"
"estate_category", "Categoria"
"estate_kind", "Tipologia"
"estate_rooms", "Stanze"
"estate_bathrooms", "Bagni"
"estate_balcony", "Poggiolo"
"estate_heating", "Riscaldamento"
"estate_elevator", "Ascensore"
"estate_parking", "Posto auto"
"estate_garage", "Garage"
"estate_floor", "Piano"
"estate_floors", "Piani"
"estate_state", "Stato"
"estate_build_year", "Anno di costruzione"
"estate_monthly_charges", "Spese condominiali"
"estate_deed", "Stato al rogito"
"estate_price", "Prezzo"
"estate_base_data", "Dati base"
"estate_show_ad", "Rendi visibile l'annuncio"
"estate_show_ad_in_evidence", "Mostra l'annuncio in homepage"
"estate_spec_data", "Dati immobile"
"estate_image_name", "Nome immagine"
"estate_media", "Media"
"estate_admin_new", "Nuovo Annuncio"
"estate_admin_edit", "Modifica Annuncio"
"estate_add_files", "Aggiungi files"
"estate_start_upload", "Carica sul server"
"estate_cancel_upload", "Cancella il caricamento"
"estate_delete_selected", "Cancella selezionati"
"estate_next", "Prossimi"
"estate_previous", "Precedenti"
"estate_download", "Scarica"
"estate_maxFileSize", "Il file è troppo grande"
"estate_minFileSize", "Il file è troppo piccolo"
"estate_acceptFileTypes", "Il tipo di file non è permesso"
"estate_maxNumberOfFiles", "Ci sono troppi files"
"estate_uploadedBytes", "C\'e stato un errore nel caricamento del file: il file caricato è più grande di quando previsto"
"estate_emptyResult", "C\'è stao un errore nel caricamento del file: il file caricato è vuoto"
"estate_error", "Errore"
"estate_start", "Carica"
"estate_cancel", "Annulla"
"estate_delete", "Cancella"
"estate_modal_preview", "Preview Immagine"
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""
"", ""



