"menutopadmin_estate_list_label", "Annunci"
"menutopadmin_estate_list_title", "Sezione Annunci immobiliari"
"menutopadmin_page_list_label", "Pagine"
"menutopadmin_page_list_title", "Sezione pagine CMS"
"menutopadmin_menu_list_label", "Menu"
"menutopadmin_menu_list_title", "Sezione per gesitre i menu"
"menutopadmin_config_index_label", "<i class=""icon-edit icon-white""></i> Configurazione"
"menutopadmin_config_index_title", "Impostazioni e opzioni dell'applicazione"
"menutopadmin_linkt_to_frontend_label", "Vai al sito"
"menutopadmin_linkt_to_frontend_title", "Apri il sito in una nuova pagina"
"menuquickadmin_estate_new_label", "<i class=""icon-plus-sign""></i> Nuovo Annuncio"
"menuquickadmin_estate_new_title", "Nuovo Annuncio"
"menuquickadmin_page_new_label", "<i class=""icon-plus-sign""></i> Nuova Pagina"
"menuquickadmin_page_new_title", "Nuova Pagina"
"menuquickadmin_menu_list_label", "<i class=""icon-plus-sign""></i> Aggiungi nuova voce di Menù"
"menuquickadmin_menu_list_title", "Aggiungi nuova voce di Menù"
"menuquickadmin_back_to_list_label", "<i class=""icon-arrow-left""></i> torna alla lista"
"menuquickadmin_back_to_list_title", "Ritorna alla visualizzazione lista"

